Name,Tags,Source,URL
mesmerista-lazy-1,instagram,LazyBookLady (https://www.notion.so/LazyBookLady-30972b080a6a4e5c9e9db993efc913d8?pvs=21),https://www.instagram.com/p/CnBxNcroFpb/
mesmerista-lazy-2,instagram,LazyBookLady (https://www.notion.so/LazyBookLady-30972b080a6a4e5c9e9db993efc913d8?pvs=21),https://www.instagram.com/p/Cow3olZso98/?img_index=1
mesmerista-spaghetti,instagram,Spaghetti Fantasy (https://www.notion.so/Spaghetti-Fantasy-269cb7b837f24ffd819af56384a07b5b?pvs=21),https://www.instagram.com/p/CoXSKwVI019/
mesmerista-gr,recensioni,GoodReads (https://www.notion.so/GoodReads-e39f59fe7d434e84b0d13a5de4496d11?pvs=21),https://www.goodreads.com/book/show/61402173-la-mesmerista
mesmerista-sg,recensioni,The StoryGraph (https://www.notion.so/The-StoryGraph-fcd3c59770ad4bbaba09a7f8a98bb492?pvs=21),https://app.thestorygraph.com/books/e5ed167b-3183-4f7f-9a5a-0aca525c080e
mesmerista-amazon,acquista,Amazon (https://www.notion.so/Amazon-5d628979635c461ba31386893441b222?pvs=21),https://www.amazon.it/mesmerista-Sara-Simoni/dp/8832198916
cliff-sg,recensioni,The StoryGraph (https://www.notion.so/The-StoryGraph-fcd3c59770ad4bbaba09a7f8a98bb492?pvs=21),https://app.thestorygraph.com/books/8bd8766a-6ce5-42ae-9c31-da4dd9d23241
cliff-gr,recensioni,GoodReads (https://www.notion.so/GoodReads-e39f59fe7d434e84b0d13a5de4496d11?pvs=21),https://www.goodreads.com/book/show/65007371-le-notti-di-cliffmouth
cliff-amazon,acquista,Amazon (https://www.notion.so/Amazon-5d628979635c461ba31386893441b222?pvs=21),https://www.amazon.it/Luci-verdi-dallinferno-notti-Cliffmouth/dp/B0BQCXRDD1
cliff-stress,instagram,LettriceStressata (https://www.notion.so/LettriceStressata-4e1829e79e254440bb6da20475ec403e?pvs=21),https://www.instagram.com/p/Co9gpRLIooE/
cliff-spaghetti,instagram,Spaghetti Fantasy (https://www.notion.so/Spaghetti-Fantasy-269cb7b837f24ffd819af56384a07b5b?pvs=21),https://www.instagram.com/p/Co7XKY_IsMj/?img_index=1
