Name,Sotto generi,Autorə,Casa Editrice,Copertina,Data pubblicazione,Pagine,Saga?,Trigger warning,Recensioni,Instagram,Acquista
La Mesmerista,"Romance, Storico",Sara Simoni,Acheron Books,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/9788832198911_0_424_0_75.jpg,"July 8, 2022",300,Saga,,"[{'ll': ['mesmerista-sg'], 'URL': ['https://app.thestorygraph.com/books/e5ed167b-3183-4f7f-9a5a-0aca525c080e'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}, {'ll': ['mesmerista-gr'], 'URL': ['https://www.goodreads.com/book/show/61402173-la-mesmerista'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}]","[{'ll': ['mesmerista-spaghetti'], 'URL': ['https://www.instagram.com/p/CoXSKwVI019/'], 'Name': ['Spaghetti Fantasy'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/355124107_911061533291655_8123829358213876002_n.jpg']}, {'ll': ['mesmerista-lazy-1'], 'URL': ['https://www.instagram.com/p/CnBxNcroFpb/'], 'Name': ['LazyBookLady'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/306813399_508053137818018_5524604070641916789_n.jpg']}]","[{'ll': ['mesmerista-amazon'], 'URL': ['https://www.amazon.it/mesmerista-Sara-Simoni/dp/8832198916'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Le notti di Cliffmouth: luci verdi dall'inferno,Dark,Mattia Manfredonia,Lumien,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/9791281256026_0_424_0_75.jpg,"December 1, 2022",456,Saga,,"[{'ll': ['cliff-gr'], 'URL': ['https://www.goodreads.com/book/show/65007371-le-notti-di-cliffmouth'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}, {'ll': ['cliff-sg'], 'URL': ['https://app.thestorygraph.com/books/8bd8766a-6ce5-42ae-9c31-da4dd9d23241'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}]","[{'ll': ['cliff-spaghetti'], 'URL': ['https://www.instagram.com/p/Co7XKY_IsMj/?img_index=1'], 'Name': ['Spaghetti Fantasy'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/355124107_911061533291655_8123829358213876002_n.jpg']}, {'ll': ['cliff-stress'], 'URL': ['https://www.instagram.com/p/Co9gpRLIooE/'], 'Name': ['LettriceStressata'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/412269023_326366346865676_1559371685255760469_n.jpg']}]","[{'ll': ['cliff-amazon'], 'URL': ['https://www.amazon.it/Luci-verdi-dallinferno-notti-Cliffmouth/dp/B0BQCXRDD1'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Clover – Il custode delle storie incompiute,Portal,Camilla Cosmelli,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/712C2AgVFpL._SL1500_.jpg,"October 9, 2022",440,Saga ma si legge anche da solo,,"[{'ll': ['clover-sg'], 'URL': ['https://app.thestorygraph.com/books/9329c574-8b82-462e-8d73-df43607806c6'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}, {'ll': ['clover-gr'], 'URL': ['https://www.goodreads.com/book/show/62974782-clover-il-custode-delle-storie-incompiute'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}]","[{'ll': ['clover-spaghetti'], 'URL': ['https://www.instagram.com/p/Cp7uYQeoQdH/?img_index=1'], 'Name': ['Spaghetti Fantasy'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/355124107_911061533291655_8123829358213876002_n.jpg']}, {'ll': ['clover-stress'], 'URL': ['https://www.instagram.com/p/CrxfvCWIh-0/'], 'Name': ['LettriceStressata'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/412269023_326366346865676_1559371685255760469_n.jpg']}]","[{'ll': ['clover-amazon'], 'URL': ['https://www.amazon.it/Clover-custode-delle-storie-incompiute/dp/B0BHR293XK/'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Awen,"Distopico, Sci-fi",Arianna Rosa,Acheron Books,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/61B5nUYCWzL._SL1448_.jpg,"April 14, 2022",280,Saga,,"[{'ll': ['awen-gr'], 'URL': ['https://www.goodreads.com/book/show/60721439-awen'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}, {'ll': ['awen-sg'], 'URL': ['https://app.thestorygraph.com/books/cd1b3796-e808-4c00-a4c0-ae44a85e6b98'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}]","[{'ll': ['awen-stress'], 'URL': ['https://www.instagram.com/p/CtLu11hMdTJ/'], 'Name': ['LettriceStressata'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/412269023_326366346865676_1559371685255760469_n.jpg']}, {'ll': ['awen-cactus'], 'URL': ['https://www.instagram.com/p/C1g8QMgo1w3/?img_index=4'], 'Name': ['CactusElle'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/285316180_584534006533422_4292735722294183477_n.jpg']}, {'ll': ['awen-lazy'], 'URL': ['https://www.instagram.com/p/Cw2baYsME45/'], 'Name': ['LazyBookLady'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/306813399_508053137818018_5524604070641916789_n.jpg']}, {'ll': ['awen-spaghetti'], 'URL': ['https://www.instagram.com/p/Cu19gQcIRkh/'], 'Name': ['Spaghetti Fantasy'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/355124107_911061533291655_8123829358213876002_n.jpg']}]","[{'ll': ['awen-amazon'], 'URL': ['https://www.amazon.it/Awen-Esprimi-desiderio-Arianna-Rosa/dp/8832198770/'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Nell Ruell va all'inferno,"Portal, Storico",R.J. Driscoll,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/91QhKRCiaAL._SL1500_.jpg,"March 2, 2023",497,Saga,,"[{'ll': ['nell-sg'], 'URL': ['https://app.thestorygraph.com/books/f53fbf5c-72e6-4c69-90d0-c6d0b96afe6c'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}, {'ll': ['nell-gr'], 'URL': ['https://www.goodreads.com/book/show/122994750-nell-ruell-va-all-inferno'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}]","[{'ll': ['nell-stress'], 'URL': ['https://www.instagram.com/p/CwR_qyzsRpB/'], 'Name': ['LettriceStressata'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/412269023_326366346865676_1559371685255760469_n.jpg']}, {'ll': ['nell-cactus'], 'URL': ['https://www.instagram.com/p/C1g8qbBomxz/?img_index=5'], 'Name': ['CactusElle'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/285316180_584534006533422_4292735722294183477_n.jpg']}, {'ll': ['nell-lazy'], 'URL': ['https://www.instagram.com/p/CxdUWv8o5UM/'], 'Name': ['LazyBookLady'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/306813399_508053137818018_5524604070641916789_n.jpg']}, {'ll': ['nell-spaghetti'], 'URL': ['https://www.instagram.com/p/CwNfKGCoMaN/'], 'Name': ['Spaghetti Fantasy'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/355124107_911061533291655_8123829358213876002_n.jpg']}]","[{'ll': ['nell-amazon'], 'URL': ['https://www.amazon.it/Nell-Ruell-allinferno-R-J-Driscoll-ebook/dp/B0BVP72MFK/'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Azoth Express,Giallo,Elia P. Ansaloni,Delrai Edizioni,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/81Cbmw9tKKL._SL1365_.jpg,"December 2, 2021",250,Autoconclusivo,,"[{'ll': ['azo-gr'], 'URL': ['https://www.goodreads.com/book/show/59753701-azoth-express'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}, {'ll': ['azo-sg'], 'URL': ['https://app.thestorygraph.com/books/bf6f688a-f0a5-4089-9f1f-7a0013eee8d5'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}]","[{'ll': ['azo-spaghetti'], 'URL': ['https://www.instagram.com/p/CxnabNcoq3j/'], 'Name': ['Spaghetti Fantasy'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/355124107_911061533291655_8123829358213876002_n.jpg']}, {'ll': ['azo-cactus'], 'URL': ['https://www.instagram.com/p/C1g8QMgo1w3/?img_index=5'], 'Name': ['CactusElle'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/285316180_584534006533422_4292735722294183477_n.jpg']}, {'ll': ['azo-stress'], 'URL': ['https://www.instagram.com/p/CydeT60M6UW/'], 'Name': ['LettriceStressata'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/412269023_326366346865676_1559371685255760469_n.jpg']}]","[{'ll': ['azo-amazon'], 'URL': ['https://www.amazon.it/Azoth-express-Elia-P-Ansaloni/dp/8855420682'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
La fiamma azzurra,Comic,Daniele Viaroli,DZ Edizioni,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/71QPuqab9-L._SL1421_.jpg,"April 2, 2019",334,Saga ma si legge anche da solo,,"[{'ll': ['fiamma-sg'], 'URL': ['https://app.thestorygraph.com/books/e53dc18e-2740-498f-aa96-9801fabe6acb'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}, {'ll': ['fiamma-gr'], 'URL': ['https://www.goodreads.com/book/show/52316653-la-fiamma-azzurra'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}]","[{'ll': ['fiamma-cactus'], 'URL': ['https://www.instagram.com/p/C1g8QMgo1w3/?img_index=7'], 'Name': ['CactusElle'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/285316180_584534006533422_4292735722294183477_n.jpg']}, {'ll': ['fiamma-lazy'], 'URL': ['https://www.instagram.com/p/Cx49VWIMJCc/'], 'Name': ['LazyBookLady'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/306813399_508053137818018_5524604070641916789_n.jpg']}]","[{'ll': ['fiamma-amazon'], 'URL': ['https://www.amazon.it/fiamma-azzurra-Daniele-Viaroli/dp/8899845654/'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Bodhi: Cuore di ferro,Sci-fi,Azzurra Pasquali,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/7198fVtlxL._SL1500_.jpg,"July 13, 2023",364,Saga,,"[{'ll': ['bodhi-sg'], 'URL': ['https://app.thestorygraph.com/books/4b1b6fd6-942c-4ace-8b05-38172c7f4671'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}, {'ll': ['bodhi-gr'], 'URL': ['https://www.goodreads.com/book/show/189358751-cuore-di-ferro'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}]","[{'ll': ['bodhi-stress'], 'URL': ['https://www.instagram.com/p/C2ZoYAjoRBd/'], 'Name': ['LettriceStressata'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/412269023_326366346865676_1559371685255760469_n.jpg']}]","[{'ll': ['bodhi-amazon'], 'URL': ['https://www.amazon.it/Cuore-Ferro-Bodhi-Vol-1/dp/B0C9SHBQPD/'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Liwaria - La spada di diamante blu,Epic,Giada Abbiati,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/81xT9NMCtXL._SL1500_.jpg,"December 8, 2021",643,Saga,,"[{'ll': ['liwaria-sg'], 'URL': ['https://app.thestorygraph.com/books/25791c44-e308-404b-8172-d378dd0b9841'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}, {'ll': ['liwaria-gr'], 'URL': ['https://www.goodreads.com/book/show/59787776-liwaria-la-spada-di-diamante-blu'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}]","[{'ll': ['liwaria-stress'], 'URL': ['https://www.instagram.com/p/CsIu5L-omeg/'], 'Name': ['LettriceStressata'], 'type': ['instagram'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/412269023_326366346865676_1559371685255760469_n.jpg']}]","[{'ll': ['liwaria-amazon'], 'URL': ['https://www.amazon.it/Liwaria-spada-diamante-saga-Vol-ebook/dp/B09MJQHK98/'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
Gli incubi di chi non dorme,Horror,Naenia Miele,Spirito libero edizioni,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/71uiYn69GL._SL1500_.jpg,"January 20, 2023",222,Autoconclusivo,,"[{'ll': ['incubi-gr'], 'URL': ['https://www.goodreads.com/book/show/83822544-gli-incubi-di-chi-non-dorme'], 'Name': ['GoodReads'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/Goodreads_logo_-_SuperTinyIcons.svg.png']}, {'ll': ['incubi-sg'], 'URL': ['https://app.thestorygraph.com/books/be3368ac-b1ad-4d93-941e-aaedd7ea929e'], 'Name': ['The StoryGraph'], 'type': ['recensioni'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/storygraph.png']}]",[],"[{'ll': ['incubi-amazon'], 'URL': ['https://www.amazon.it/Gli-incubi-chi-non-dorme-ebook/dp/B0BRVDSLCJ'], 'Name': ['Amazon'], 'type': ['acquista'], 'Img': ['Sources%20b5056eadf3d54c11ba0bddf3e96b477c/amazon-logo.jpg']}]"
